index #,CPU,Time,Thread ID,Process ID,Session ID,Module,Src,Line,Function,Level,Class,Message,Comments
1,5.8E+08,2026-01-24 16:00:00.050Z,640,26440,8801,BrokerService,McsOrchestration,104,CreateProvisioningJob,1,Information,Received request from Studio. Creating provisioning job.,JobId=JOB-510F2F1B; Catalog=Win11-Office-VDI; Hypervisor=vcenter-mia2.citrite.net; RequestedCount=25; Case=CCVADHELP-5077
2,4.2E+08,2026-01-24 16:00:00.130Z,640,26440,8801,BrokerService,McsOrchestration,189,QueueMachineOperations,5,Information,Queued machine operations for provisioning.,JobId=JOB-510F2F1B; MaxConcurrency=10; CallbackTimeoutSec=60
3,6.1E+08,2026-01-24 16:00:00.165Z,684,26440,8801,BrokerService,McsOrchestration,262,DispatchProvisioning,5,Information,Dispatching CreateVM operation to Cloud Connector.,Machine=Win11-Office-VDI-VM01; JobId=JOB-510F2F1B; OpId=OP-6B7F7D0376; CorrelationId=61d5e413-01bf-407d-b42c-7eb575c8b7a5; Connector=cc-mia2-01.cloud.citrite.net
4,4.6E+08,2026-01-24 16:00:00.200Z,688,26440,8801,BrokerService,McsOrchestration,262,DispatchProvisioning,5,Information,Dispatching CreateVM operation to Cloud Connector.,Machine=Win11-Office-VDI-VM02; JobId=JOB-510F2F1B; OpId=OP-4776E9D037; CorrelationId=bfa15c4c-1c81-4482-b460-8019f6af4b5f; Connector=cc-mia2-01.cloud.citrite.net
5,6.0E+08,2026-01-24 16:00:00.235Z,657,26440,8801,BrokerService,McsOrchestration,262,DispatchProvisioning,5,Information,Dispatching CreateVM operation to Cloud Connector.,Machine=Win11-Office-VDI-VM03; JobId=JOB-510F2F1B; OpId=OP-7990C1A28A; CorrelationId=5882f8aa-2a25-43c3-88e7-5a312b4e8fe5; Connector=cc-mia2-01.cloud.citrite.net
6,3.9E+08,2026-01-24 16:00:00.270Z,665,26440,8801,BrokerService,McsOrchestration,262,DispatchProvisioning,5,Information,Dispatching CreateVM operation to Cloud Connector.,Machine=Win11-Office-VDI-VM04; JobId=JOB-510F2F1B; OpId=OP-408FF2AE66; CorrelationId=259b02a8-4392-4c6f-9a20-8cdb7a39e9f2; Connector=cc-mia2-01.cloud.citrite.net
7,5.6E+08,2026-01-24 16:00:00.305Z,655,26440,8801,BrokerService,McsOrchestration,262,DispatchProvisioning,5,Information,Dispatching CreateVM operation to Cloud Connector.,Machine=Win11-Office-VDI-VM05; JobId=JOB-510F2F1B; OpId=OP-AAE2DE292E; CorrelationId=277b8a8c-ab16-43b3-a7f5-58edd2d6a656; Connector=cc-mia2-01.cloud.citrite.net
8,5.6E+08,2026-01-24 16:00:00.340Z,684,26440,8801,BrokerService,McsOrchestration,262,DispatchProvisioning,5,Information,Dispatching CreateVM operation to Cloud Connector.,Machine=Win11-Office-VDI-VM06; JobId=JOB-510F2F1B; OpId=OP-D6867B9713; CorrelationId=9e2fb48f-d64b-4e1c-9f6c-ee0e79928680; Connector=cc-mia2-01.cloud.citrite.net
9,6.1E+08,2026-01-24 16:00:00.375Z,680,26440,8801,BrokerService,McsOrchestration,262,DispatchProvisioning,5,Information,Dispatching CreateVM operation to Cloud Connector.,Machine=Win11-Office-VDI-VM07; JobId=JOB-510F2F1B; OpId=OP-9AFBE79BF1; CorrelationId=ba2a09f4-59f3-477a-b650-24f892dc8e7c; Connector=cc-mia2-01.cloud.citrite.net
10,5.1E+09,2026-01-24 16:00:00.410Z,666,26440,8801,BrokerService,McsOrchestration,262,DispatchProvisioning,5,Information,Dispatching CreateVM operation to Cloud Connector.,Machine=Win11-Office-VDI-VM08; JobId=JOB-510F2F1B; OpId=OP-AC8EF9DCC8; CorrelationId=578b44cc-336a-407f-aa73-0c89d5beb920; Connector=cc-mia2-01.cloud.citrite.net
11,6.0E+08,2026-01-24 16:00:00.445Z,663,26440,8801,BrokerService,McsOrchestration,262,DispatchProvisioning,5,Information,Dispatching CreateVM operation to Cloud Connector.,Machine=Win11-Office-VDI-VM09; JobId=JOB-510F2F1B; OpId=OP-B4CFFACDBC; CorrelationId=aee2bead-a1ad-4246-acf1-7e4a35be6a78; Connector=cc-mia2-01.cloud.citrite.net
12,4.8E+08,2026-01-24 16:00:00.480Z,669,26440,8801,BrokerService,McsOrchestration,262,DispatchProvisioning,5,Information,Dispatching CreateVM operation to Cloud Connector.,Machine=Win11-Office-VDI-VM10; JobId=JOB-510F2F1B; OpId=OP-50AAD7783A; CorrelationId=fbb769c0-ddf1-44dd-a1a6-a00a6350bda1; Connector=cc-mia2-01.cloud.citrite.net
13,6.0E+09,2026-01-24 16:00:00.515Z,678,26440,8801,BrokerService,McsOrchestration,262,DispatchProvisioning,5,Information,Dispatching CreateVM operation to Cloud Connector.,Machine=Win11-Office-VDI-VM11; JobId=JOB-510F2F1B; OpId=OP-396DA50C89; CorrelationId=6a75fb34-0cb7-49c8-8d4c-a4b98ea5f9ac; Connector=cc-mia2-01.cloud.citrite.net
14,4.4E+08,2026-01-24 16:00:00.550Z,657,26440,8801,BrokerService,McsOrchestration,262,DispatchProvisioning,5,Information,Dispatching CreateVM operation to Cloud Connector.,Machine=Win11-Office-VDI-VM12; JobId=JOB-510F2F1B; OpId=OP-40955CEC02; CorrelationId=2318357c-13d5-4575-a225-900fab0c5874; Connector=cc-mia2-01.cloud.citrite.net
15,3.9E+08,2026-01-24 16:00:00.585Z,671,26440,8801,BrokerService,McsOrchestration,262,DispatchProvisioning,5,Information,Dispatching CreateVM operation to Cloud Connector.,Machine=Win11-Office-VDI-VM13; JobId=JOB-510F2F1B; OpId=OP-92EF24E440; CorrelationId=e081685a-fc34-42c2-ab11-29d9981214be; Connector=cc-mia2-01.cloud.citrite.net
16,4.3E+08,2026-01-24 16:00:00.620Z,687,26440,8801,BrokerService,McsOrchestration,262,DispatchProvisioning,5,Information,Dispatching CreateVM operation to Cloud Connector.,Machine=Win11-Office-VDI-VM14; JobId=JOB-510F2F1B; OpId=OP-0D16920FE9; CorrelationId=d74b6bdb-b2b1-4bc5-b26d-db0db6a8dfd4; Connector=cc-mia2-01.cloud.citrite.net
