index #,CPU,Time,Thread ID,Process ID,Session ID,Module,Src,Line,Function,Level,Class,Message,Comments
1,4.9E+08,2026-01-24 16:00:02.050Z,72,20712,5109,RemoteHCL,RemoteHclService,55,AcceptConnection,1,Information,Accepted WCF client connection from Cloud Connector.,RemoteHCL=remotehcl-mia2-01.cloud.citrite.net; Client=cc-mia2-01.cloud.citrite.net; JobId=JOB-510F2F1B; Protocol=net.tcp
2,4.5E+09,2026-01-24 16:00:03.070Z,104,20712,5109,RemoteHCL,MachineMgmt,211,BeginMachineManagementOperation,1,EntryExit,BeginMachineManagementOperation received (CreateVM).,Machine=Win11-Office-VDI-VM01; OpId=OP-6B7F7D0376; CorrelationId=61d5e413-01bf-407d-b42c-7eb575c8b7a5; Hypervisor=vcenter-mia2.citrite.net
3,5.8E+09,2026-01-24 16:00:03.110Z,96,20712,5109,RemoteHCL,VmwareProvisioning,388,CreateVmAndAttachDisks,5,Information,Invoking vCenter API: Create VM and attach disks.,Machine=Win11-Office-VDI-VM01; Task=task-65d17585; Datastore=vsanDatastore; Network=VDI-Network-Prod; ResourcePool=RP-CVAD-MCS
4,5.6E+08,2026-01-24 16:00:03.330Z,81,20712,5109,RemoteHCL,VmwareProvisioning,455,OnCreateVmTaskCompleted,5,Information,VM created successfully in vCenter.,Machine=Win11-Office-VDI-VM01; VmMoRef=vm-43824; Task=task-65d17585; IP=10.20.13.199
5,4.3E+08,2026-01-24 16:00:03.400Z,102,20712,5109,RemoteHCL,MachineMgmt,211,BeginMachineManagementOperation,1,EntryExit,BeginMachineManagementOperation received (CreateVM).,Machine=Win11-Office-VDI-VM02; OpId=OP-4776E9D037; CorrelationId=bfa15c4c-1c81-4482-b460-8019f6af4b5f; Hypervisor=vcenter-mia2.citrite.net
6,5.6E+08,2026-01-24 16:00:03.440Z,82,20712,5109,RemoteHCL,VmwareProvisioning,388,CreateVmAndAttachDisks,5,Information,Invoking vCenter API: Create VM and attach disks.,Machine=Win11-Office-VDI-VM02; Task=task-1e599be6; Datastore=vsanDatastore; Network=VDI-Network-Prod; ResourcePool=RP-CVAD-MCS
7,5.8E+08,2026-01-24 16:00:03.660Z,92,20712,5109,RemoteHCL,VmwareProvisioning,455,OnCreateVmTaskCompleted,5,Information,VM created successfully in vCenter.,Machine=Win11-Office-VDI-VM02; VmMoRef=vm-46506; Task=task-1e599be6; IP=10.20.41.67
8,4.1E+08,2026-01-24 16:00:03.730Z,95,20712,5109,RemoteHCL,MachineMgmt,211,BeginMachineManagementOperation,1,EntryExit,BeginMachineManagementOperation received (CreateVM).,Machine=Win11-Office-VDI-VM03; OpId=OP-7990C1A28A; CorrelationId=5882f8aa-2a25-43c3-88e7-5a312b4e8fe5; Hypervisor=vcenter-mia2.citrite.net
9,6.1E+09,2026-01-24 16:00:03.770Z,116,20712,5109,RemoteHCL,VmwareProvisioning,388,CreateVmAndAttachDisks,5,Information,Invoking vCenter API: Create VM and attach disks.,Machine=Win11-Office-VDI-VM03; Task=task-28715243; Datastore=vsanDatastore; Network=VDI-Network-Prod; ResourcePool=RP-CVAD-MCS
10,5.6E+08,2026-01-24 16:00:03.990Z,96,20712,5109,RemoteHCL,VmwareProvisioning,455,OnCreateVmTaskCompleted,5,Information,VM created successfully in vCenter.,Machine=Win11-Office-VDI-VM03; VmMoRef=vm-44286; Task=task-28715243; IP=10.20.23.183
11,5.3E+08,2026-01-24 16:00:04.060Z,118,20712,5109,RemoteHCL,MachineMgmt,211,BeginMachineManagementOperation,1,EntryExit,BeginMachineManagementOperation received (CreateVM).,Machine=Win11-Office-VDI-VM04; OpId=OP-408FF2AE66; CorrelationId=259b02a8-4392-4c6f-9a20-8cdb7a39e9f2; Hypervisor=vcenter-mia2.citrite.net
12,6.1E+08,2026-01-24 16:00:04.100Z,90,20712,5109,RemoteHCL,VmwareProvisioning,388,CreateVmAndAttachDisks,5,Information,Invoking vCenter API: Create VM and attach disks.,Machine=Win11-Office-VDI-VM04; Task=task-fb7d4871; Datastore=vsanDatastore; Network=VDI-Network-Prod; ResourcePool=RP-CVAD-MCS
13,3.9E+08,2026-01-24 16:00:04.320Z,117,20712,5109,RemoteHCL,VmwareProvisioning,455,OnCreateVmTaskCompleted,5,Information,VM created successfully in vCenter.,Machine=Win11-Office-VDI-VM04; VmMoRef=vm-50935; Task=task-fb7d4871; IP=10.20.21.161
14,5.4E+09,2026-01-24 16:00:04.390Z,116,20712,5109,RemoteHCL,MachineMgmt,211,BeginMachineManagementOperation,1,EntryExit,BeginMachineManagementOperation received (CreateVM).,Machine=Win11-Office-VDI-VM05; OpId=OP-AAE2DE292E; CorrelationId=277b8a8c-ab16-43b3-a7f5-58edd2d6a656; Hypervisor=vcenter-mia2.citrite.net
15,6.1E+08,2026-01-24 16:00:04.430Z,105,20712,5109,RemoteHCL,VmwareProvisioning,388,CreateVmAndAttachDisks,5,Information,Invoking vCenter API: Create VM and attach disks.,Machine=Win11-Office-VDI-VM05; Task=task-8cb58210; Datastore=vsanDatastore; Network=VDI-Network-Prod; ResourcePool=RP-CVAD-MCS
16,5.2E+08,2026-01-24 16:00:04.650Z,84,20712,5109,RemoteHCL,VmwareProvisioning,455,OnCreateVmTaskCompleted,5,Information,VM created successfully in vCenter.,Machine=Win11-Office-VDI-VM05; VmMoRef=vm-48912; Task=task-8cb58210; IP=10.20.14.17
17,5.5E+08,2026-01-24 16:00:04.720Z,86,20712,5109,RemoteHCL,MachineMgmt,211,BeginMachineManagementOperation,1,EntryExit,BeginMachineManagementOperation received (CreateVM).,Machine=Win11-Office-VDI-VM06; OpId=OP-D6867B9713; CorrelationId=9e2fb48f-d64b-4e1c-9f6c-ee0e79928680; Hypervisor=vcenter-mia2.citrite.net
18,5.7E+08,2026-01-24 16:00:04.760Z,118,20712,5109,RemoteHCL,VmwareProvisioning,388,CreateVmAndAttachDisks,5,Information,Invoking vCenter API: Create VM and attach disks.,Machine=Win11-Office-VDI-VM06; Task=task-169305c9; Datastore=vsanDatastore; Network=VDI-Network-Prod; ResourcePool=RP-CVAD-MCS
19,5.1E+08,2026-01-24 16:00:04.980Z,102,20712,5109,RemoteHCL,VmwareProvisioning,455,OnCreateVmTaskCompleted,5,Information,VM created successfully in vCenter.,Machine=Win11-Office-VDI-VM06; VmMoRef=vm-43535; Task=task-169305c9; IP=10.20.37.69
20,5.0E+08,2026-01-24 16:00:05.050Z,84,20712,5109,RemoteHCL,MachineMgmt,211,BeginMachineManagementOperation,1,EntryExit,BeginMachineManagementOperation received (CreateVM).,Machine=Win11-Office-VDI-VM07; OpId=OP-9AFBE79BF1; CorrelationId=ba2a09f4-59f3-477a-b650-24f892dc8e7c; Hypervisor=vcenter-mia2.citrite.net
21,5.8E+09,2026-01-24 16:00:05.090Z,80,20712,5109,RemoteHCL,VmwareProvisioning,388,CreateVmAndAttachDisks,5,Information,Invoking vCenter API: Create VM and attach disks.,Machine=Win11-Office-VDI-VM07; Task=task-280f87ba; Datastore=vsanDatastore; Network=VDI-Network-Prod; ResourcePool=RP-CVAD-MCS
22,4.8E+08,2026-01-24 16:00:05.310Z,86,20712,5109,RemoteHCL,VmwareProvisioning,455,OnCreateVmTaskCompleted,5,Information,VM created successfully in vCenter.,Machine=Win11-Office-VDI-VM07; VmMoRef=vm-50279; Task=task-280f87ba; IP=10.20.87.16
