index #,CPU,Time,Thread ID,Process ID,Session ID,Module,Src,Line,Function,Level,Class,Message,Comments
1,4.7E+08,2026-01-24 16:00:00.000Z,3108,18124,9520,Studio,StudioConsole,221,OnCreateMachinesClicked,1,EntryExit,Admin initiated catalog update: add 25 machines.,Case=CCVADHELP-5077; Customer=AcmeHealth; Tenant=acmehealth-prod; Catalog=Win11-Office-VDI; Hypervisor=vcenter-mia2.citrite.net; Client=Studio/2408.0 (AdminConsole)
2,5.5E+08,2026-01-24 16:00:00.120Z,3108,18124,9520,Studio,StudioConsole,412,SubmitProvisioningRequest,1,Information,Submitting provisioning request to DDC 'ddc-01.cloud.citrite.net' for 25 machines.,JobId=JOB-510F2F1B; Catalog=Win11-Office-VDI; Count=25; Initiator=admin@acmehealth.com
3,5.3E+08,2026-01-24 16:00:00.300Z,3108,18124,9520,Studio,StudioConsole,478,TrackJobProgress,5,Information,Provisioning job accepted. Tracking progress…,JobId=JOB-510F2F1B; PollIntervalMs=2000
4,5.1E+08,2026-01-24 16:00:02.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 1/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM01; OpId=OP-6B7F7D0376; CorrelationId=61d5e413-01bf-407d-b42c-7eb575c8b7a5; JobId=JOB-510F2F1B
5,4.2E+09,2026-01-24 16:00:04.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 2/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM02; OpId=OP-4776E9D037; CorrelationId=bfa15c4c-1c81-4482-b460-8019f6af4b5f; JobId=JOB-510F2F1B
6,4.4E+08,2026-01-24 16:00:06.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 3/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM03; OpId=OP-7990C1A28A; CorrelationId=5882f8aa-2a25-43c3-88e7-5a312b4e8fe5; JobId=JOB-510F2F1B
7,5.4E+08,2026-01-24 16:00:08.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 4/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM04; OpId=OP-408FF2AE66; CorrelationId=259b02a8-4392-4c6f-9a20-8cdb7a39e9f2; JobId=JOB-510F2F1B
8,4.3E+08,2026-01-24 16:00:10.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 5/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM05; OpId=OP-AAE2DE292E; CorrelationId=277b8a8c-ab16-43b3-a7f5-58edd2d6a656; JobId=JOB-510F2F1B
9,5.7E+09,2026-01-24 16:00:12.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 6/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM06; OpId=OP-D6867B9713; CorrelationId=9e2fb48f-d64b-4e1c-9f6c-ee0e79928680; JobId=JOB-510F2F1B
10,4.4E+08,2026-01-24 16:00:14.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 7/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM07; OpId=OP-9AFBE79BF1; CorrelationId=ba2a09f4-59f3-477a-b650-24f892dc8e7c; JobId=JOB-510F2F1B
11,6.0E+08,2026-01-24 16:00:16.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 8/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM08; OpId=OP-AC8EF9DCC8; CorrelationId=578b44cc-336a-407f-aa73-0c89d5beb920; JobId=JOB-510F2F1B
12,4.3E+09,2026-01-24 16:00:18.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 9/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM09; OpId=OP-B4CFFACDBC; CorrelationId=aee2bead-a1ad-4246-acf1-7e4a35be6a78; JobId=JOB-510F2F1B
13,4.7E+09,2026-01-24 16:00:20.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 10/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM10; OpId=OP-50AAD7783A; CorrelationId=fbb769c0-ddf1-44dd-a1a6-a00a6350bda1; JobId=JOB-510F2F1B
14,4.1E+08,2026-01-24 16:00:22.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 11/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM11; OpId=OP-396DA50C89; CorrelationId=6a75fb34-0cb7-49c8-8d4c-a4b98ea5f9ac; JobId=JOB-510F2F1B
15,4.4E+08,2026-01-24 16:00:24.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 12/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM12; OpId=OP-40955CEC02; CorrelationId=2318357c-13d5-4575-a225-900fab0c5874; JobId=JOB-510F2F1B
16,5.6E+09,2026-01-24 16:00:26.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 13/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM13; OpId=OP-92EF24E440; CorrelationId=e081685a-fc34-42c2-ab11-29d9981214be; JobId=JOB-510F2F1B
17,6.0E+09,2026-01-24 16:00:28.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 14/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM14; OpId=OP-0D16920FE9; CorrelationId=d74b6bdb-b2b1-4bc5-b26d-db0db6a8dfd4; JobId=JOB-510F2F1B
18,4.7E+08,2026-01-24 16:00:30.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 15/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM15; OpId=OP-7D75960F11; CorrelationId=46bca322-641d-4371-a673-e407f30edb77; JobId=JOB-510F2F1B
19,5.0E+08,2026-01-24 16:00:32.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 16/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM16; OpId=OP-0FB02B95CA; CorrelationId=c51eacf7-2852-4dcb-93a8-5dfadf06e3cf; JobId=JOB-510F2F1B
20,5.6E+08,2026-01-24 16:00:34.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 17/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM17; OpId=OP-DD965D101A; CorrelationId=24aa6106-25ae-48e1-9c5d-b3f8a04e9639; JobId=JOB-510F2F1B
21,4.2E+08,2026-01-24 16:00:36.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 18/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM18; OpId=OP-3927DD3797; CorrelationId=abf43713-9567-4eec-9528-89fd391b47e9; JobId=JOB-510F2F1B
22,5.7E+09,2026-01-24 16:00:38.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 19/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM19; OpId=OP-801CAA5C9C; CorrelationId=c91e3896-9fb1-49c3-a409-80dfc2c98624; JobId=JOB-510F2F1B
23,5.2E+09,2026-01-24 16:00:40.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 20/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM20; OpId=OP-344E96E32C; CorrelationId=32f9e394-c96c-4cf7-8916-6da9b61b547a; JobId=JOB-510F2F1B
24,4.7E+09,2026-01-24 16:00:42.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 21/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM21; OpId=OP-3478849E2B; CorrelationId=4a416483-0da7-419f-a1e3-5d040cce5892; JobId=JOB-510F2F1B
25,5.1E+08,2026-01-24 16:00:44.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 22/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM22; OpId=OP-A7A4986A30; CorrelationId=505d8e58-d29c-44e5-99a1-7ffab5f500df; JobId=JOB-510F2F1B
26,5.4E+08,2026-01-24 16:00:46.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 23/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM23; OpId=OP-36F752E92C; CorrelationId=b3ee6234-f56d-4613-926e-3574f2406106; JobId=JOB-510F2F1B
27,5.4E+08,2026-01-24 16:00:48.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 24/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM24; OpId=OP-6B595E7280; CorrelationId=717cb674-bf87-4d33-b851-f71fb575d98f; JobId=JOB-510F2F1B
28,5.6E+08,2026-01-24 16:00:50.300Z,3112,18124,9520,Studio,StudioConsole,501,OnMachineStateUpdate,5,Information,Machine 25/25 state updated: InProgress.,Machine=Win11-Office-VDI-VM25; OpId=OP-2BB2FA6FAB; CorrelationId=6eb7ef8b-2978-4c92-906f-78058a476e28; JobId=JOB-510F2F1B
29,4.1E+09,2026-01-24 16:02:10.300Z,3112,18124,9520,Studio,StudioConsole,644,OnJobCompleted,9,Warning,Provisioning job completed with errors: 5 machines failed.,"JobId=JOB-510F2F1B; Failed=5; Succeeded=20; FailedMachines=Win11-Office-VDI-VM07,Win11-Office-VDI-VM12,Win11-Office-VDI-VM18,Win11-Office-VDI-VM22,Win11-Office-VDI-VM24"
30,4.2E+08,2026-01-24 16:02:10.520Z,3112,18124,9520,Studio,StudioConsole,660,RenderFailure,9,Error,Machine creation failed. Studio did not receive completion callback within SLA window.,Machine=Win11-Office-VDI-VM07; OpId=OP-9AFBE79BF1; CorrelationId=ba2a09f4-59f3-477a-b650-24f892dc8e7c; ErrorId=CBK_TIMEOUT; SuggestedAction=CheckConnectorLogs
31,6.1E+08,2026-01-24 16:02:10.740Z,3112,18124,9520,Studio,StudioConsole,660,RenderFailure,9,Error,Machine creation failed. Studio did not receive completion callback within SLA window.,Machine=Win11-Office-VDI-VM12; OpId=OP-40955CEC02; CorrelationId=2318357c-13d5-4575-a225-900fab0c5874; ErrorId=CBK_TIMEOUT; SuggestedAction=CheckConnectorLogs
