index #,CPU,Time,Thread ID,Process ID,Session ID,Module,Src,Line,Function,Level,Class,Message,Comments
1,5.3E+08,2026-01-24 16:00:00.120Z,112,19588,6602,CloudConnector,HclProxyWebSocket,71,OpenWebSocket,1,Information,WebSocket channel opened to HCL Proxy for provisioning stream.,Connector=cc-mia2-01.cloud.citrite.net; RemoteHCL=remotehcl-mia2-01.cloud.citrite.net; JobId=JOB-510F2F1B; Case=CCVADHELP-5077
2,5.6E+09,2026-01-24 16:00:01.040Z,123,19588,6602,CloudConnector,HclProxyWebSocket,214,OnProvisionRequest,5,Information,Received Provision VM request (CreateVM).,Machine=Win11-Office-VDI-VM01; JobId=JOB-510F2F1B; OpId=OP-6B7F7D0376; CorrelationId=61d5e413-01bf-407d-b42c-7eb575c8b7a5; Hypervisor=vcenter-mia2.citrite.net
3,3.8E+08,2026-01-24 16:00:01.080Z,135,19588,6602,CloudConnector,HclProxyWebSocket,214,OnProvisionRequest,5,Information,Received Provision VM request (CreateVM).,Machine=Win11-Office-VDI-VM02; JobId=JOB-510F2F1B; OpId=OP-4776E9D037; CorrelationId=bfa15c4c-1c81-4482-b460-8019f6af4b5f; Hypervisor=vcenter-mia2.citrite.net
4,6.0E+08,2026-01-24 16:00:01.120Z,140,19588,6602,CloudConnector,HclProxyWebSocket,214,OnProvisionRequest,5,Information,Received Provision VM request (CreateVM).,Machine=Win11-Office-VDI-VM03; JobId=JOB-510F2F1B; OpId=OP-7990C1A28A; CorrelationId=5882f8aa-2a25-43c3-88e7-5a312b4e8fe5; Hypervisor=vcenter-mia2.citrite.net
5,5.2E+08,2026-01-24 16:00:01.160Z,129,19588,6602,CloudConnector,HclProxyWebSocket,214,OnProvisionRequest,5,Information,Received Provision VM request (CreateVM).,Machine=Win11-Office-VDI-VM04; JobId=JOB-510F2F1B; OpId=OP-408FF2AE66; CorrelationId=259b02a8-4392-4c6f-9a20-8cdb7a39e9f2; Hypervisor=vcenter-mia2.citrite.net
6,4.1E+08,2026-01-24 16:00:01.200Z,131,19588,6602,CloudConnector,HclProxyWebSocket,214,OnProvisionRequest,5,Information,Received Provision VM request (CreateVM).,Machine=Win11-Office-VDI-VM05; JobId=JOB-510F2F1B; OpId=OP-AAE2DE292E; CorrelationId=277b8a8c-ab16-43b3-a7f5-58edd2d6a656; Hypervisor=vcenter-mia2.citrite.net
7,6.0E+08,2026-01-24 16:00:01.240Z,129,19588,6602,CloudConnector,HclProxyWebSocket,214,OnProvisionRequest,5,Information,Received Provision VM request (CreateVM).,Machine=Win11-Office-VDI-VM06; JobId=JOB-510F2F1B; OpId=OP-D6867B9713; CorrelationId=9e2fb48f-d64b-4e1c-9f6c-ee0e79928680; Hypervisor=vcenter-mia2.citrite.net
8,4.3E+08,2026-01-24 16:00:01.280Z,129,19588,6602,CloudConnector,HclProxyWebSocket,214,OnProvisionRequest,5,Information,Received Provision VM request (CreateVM).,Machine=Win11-Office-VDI-VM07; JobId=JOB-510F2F1B; OpId=OP-9AFBE79BF1; CorrelationId=ba2a09f4-59f3-477a-b650-24f892dc8e7c; Hypervisor=vcenter-mia2.citrite.net
9,4.0E+09,2026-01-24 16:00:01.320Z,139,19588,6602,CloudConnector,HclProxyWebSocket,214,OnProvisionRequest,5,Information,Received Provision VM request (CreateVM).,Machine=Win11-Office-VDI-VM08; JobId=JOB-510F2F1B; OpId=OP-AC8EF9DCC8; CorrelationId=578b44cc-336a-407f-aa73-0c89d5beb920; Hypervisor=vcenter-mia2.citrite.net
10,5.6E+08,2026-01-24 16:00:01.360Z,137,19588,6602,CloudConnector,HclProxyWebSocket,214,OnProvisionRequest,5,Information,Received Provision VM request (CreateVM).,Machine=Win11-Office-VDI-VM09; JobId=JOB-510F2F1B; OpId=OP-B4CFFACDBC; CorrelationId=aee2bead-a1ad-4246-acf1-7e4a35be6a78; Hypervisor=vcenter-mia2.citrite.net
11,6.1E+08,2026-01-24 16:00:01.400Z,123,19588,6602,CloudConnector,HclProxyWebSocket,214,OnProvisionRequest,5,Information,Received Provision VM request (CreateVM).,Machine=Win11-Office-VDI-VM10; JobId=JOB-510F2F1B; OpId=OP-50AAD7783A; CorrelationId=fbb769c0-ddf1-44dd-a1a6-a00a6350bda1; Hypervisor=vcenter-mia2.citrite.net
