index #,CPU,Time,Thread ID,Process ID,Session ID,Module,Src,Line,Function,Level,Class,Message,Comments
1,4.4E+08,2026-01-24 16:00:03.100Z,41,9920,3001,vCenter,VimApi,1021,CreateVM_Task,5,Information,CreateVM_Task received from RemoteHCL.,JobId=JOB-510F2F1B; Initiator=remotehcl-mia2-01.cloud.citrite.net; Datastore=vsanDatastore; Network=VDI-Network-Prod; ResourcePool=RP-CVAD-MCS
2,5.9E+08,2026-01-24 16:00:03.195Z,52,9920,3001,vCenter,VimApi,1088,CreateVM_Task,5,Information,VM create task started.,Machine=Win11-Office-VDI-VM01; VmName=Win11-Office-VDI-VM01; Task=task-65d17585; VmMoRef=vm-43824
3,4.9E+08,2026-01-24 16:00:03.375Z,57,9920,3001,vCenter,VimApi,1142,ReconfigVM_Task,5,Information,Attaching disks and applying customization spec.,Machine=Win11-Office-VDI-VM01; VmMoRef=vm-43824; Disks=2; CustomSpec=MCS-Win11-Office-VDI
4,5.0E+09,2026-01-24 16:00:03.595Z,46,9920,3001,vCenter,VimApi,1189,TaskComplete,5,Information,VM create task completed successfully.,Machine=Win11-Office-VDI-VM01; Task=task-65d17585; VmMoRef=vm-43824
5,4.9E+08,2026-01-24 16:00:03.690Z,60,9920,3001,vCenter,VimApi,1088,CreateVM_Task,5,Information,VM create task started.,Machine=Win11-Office-VDI-VM02; VmName=Win11-Office-VDI-VM02; Task=task-1e599be6; VmMoRef=vm-46506
6,4.4E+08,2026-01-24 16:00:03.870Z,46,9920,3001,vCenter,VimApi,1142,ReconfigVM_Task,5,Information,Attaching disks and applying customization spec.,Machine=Win11-Office-VDI-VM02; VmMoRef=vm-46506; Disks=2; CustomSpec=MCS-Win11-Office-VDI
7,4.9E+09,2026-01-24 16:00:04.090Z,49,9920,3001,vCenter,VimApi,1189,TaskComplete,5,Information,VM create task completed successfully.,Machine=Win11-Office-VDI-VM02; Task=task-1e599be6; VmMoRef=vm-46506
8,3.9E+08,2026-01-24 16:00:04.185Z,43,9920,3001,vCenter,VimApi,1088,CreateVM_Task,5,Information,VM create task started.,Machine=Win11-Office-VDI-VM03; VmName=Win11-Office-VDI-VM03; Task=task-28715243; VmMoRef=vm-44286
9,4.5E+08,2026-01-24 16:00:04.365Z,45,9920,3001,vCenter,VimApi,1142,ReconfigVM_Task,5,Information,Attaching disks and applying customization spec.,Machine=Win11-Office-VDI-VM03; VmMoRef=vm-44286; Disks=2; CustomSpec=MCS-Win11-Office-VDI
10,4.8E+08,2026-01-24 16:00:04.585Z,57,9920,3001,vCenter,VimApi,1189,TaskComplete,5,Information,VM create task completed successfully.,Machine=Win11-Office-VDI-VM03; Task=task-28715243; VmMoRef=vm-44286
11,4.9E+08,2026-01-24 16:00:04.680Z,43,9920,3001,vCenter,VimApi,1088,CreateVM_Task,5,Information,VM create task started.,Machine=Win11-Office-VDI-VM04; VmName=Win11-Office-VDI-VM04; Task=task-fb7d4871; VmMoRef=vm-50935
