index #,CPU,Time,Thread ID,Process ID,Session ID,Module,Src,Line,Function,Level,Class,Message,Comments
1,4.5E+09,2026-01-24 16:00:00.090Z,501,17400,7712,HclProxy,ProvisioningGateway,60,CreateProvisioningJob,1,Information,Provisioning job created; starting per-VM loop.,JobId=JOB-510F2F1B; TotalMachines=25; Connector=cc-mia2-01.cloud.citrite.net; RemoteHCL=remotehcl-mia2-01.cloud.citrite.net; Catalog=Win11-Office-VDI
2,4.0E+08,2026-01-24 16:00:01.145Z,527,17400,7712,HclProxy,WebSocketServer,214,SendProvisionRequest,5,Information,Sending Provision VM request over WebSocket.,Machine=Win11-Office-VDI-VM01; JobId=JOB-510F2F1B; OpId=OP-6B7F7D0376; CorrelationId=61d5e413-01bf-407d-b42c-7eb575c8b7a5
3,4.9E+09,2026-01-24 16:00:01.190Z,544,17400,7712,HclProxy,WebSocketServer,214,SendProvisionRequest,5,Information,Sending Provision VM request over WebSocket.,Machine=Win11-Office-VDI-VM02; JobId=JOB-510F2F1B; OpId=OP-4776E9D037; CorrelationId=bfa15c4c-1c81-4482-b460-8019f6af4b5f
4,5.6E+08,2026-01-24 16:00:01.235Z,557,17400,7712,HclProxy,WebSocketServer,214,SendProvisionRequest,5,Information,Sending Provision VM request over WebSocket.,Machine=Win11-Office-VDI-VM03; JobId=JOB-510F2F1B; OpId=OP-7990C1A28A; CorrelationId=5882f8aa-2a25-43c3-88e7-5a312b4e8fe5
5,5.4E+09,2026-01-24 16:00:01.280Z,546,17400,7712,HclProxy,WebSocketServer,214,SendProvisionRequest,5,Information,Sending Provision VM request over WebSocket.,Machine=Win11-Office-VDI-VM04; JobId=JOB-510F2F1B; OpId=OP-408FF2AE66; CorrelationId=259b02a8-4392-4c6f-9a20-8cdb7a39e9f2
6,4.8E+08,2026-01-24 16:00:01.325Z,559,17400,7712,HclProxy,WebSocketServer,214,SendProvisionRequest,5,Information,Sending Provision VM request over WebSocket.,Machine=Win11-Office-VDI-VM05; JobId=JOB-510F2F1B; OpId=OP-AAE2DE292E; CorrelationId=277b8a8c-ab16-43b3-a7f5-58edd2d6a656
7,5.5E+08,2026-01-24 16:00:01.370Z,522,17400,7712,HclProxy,WebSocketServer,214,SendProvisionRequest,5,Information,Sending Provision VM request over WebSocket.,Machine=Win11-Office-VDI-VM06; JobId=JOB-510F2F1B; OpId=OP-D6867B9713; CorrelationId=9e2fb48f-d64b-4e1c-9f6c-ee0e79928680
8,4.9E+08,2026-01-24 16:00:01.415Z,548,17400,7712,HclProxy,WebSocketServer,214,SendProvisionRequest,5,Information,Sending Provision VM request over WebSocket.,Machine=Win11-Office-VDI-VM07; JobId=JOB-510F2F1B; OpId=OP-9AFBE79BF1; CorrelationId=ba2a09f4-59f3-477a-b650-24f892dc8e7c
9,4.0E+08,2026-01-24 16:00:01.460Z,543,17400,7712,HclProxy,WebSocketServer,214,SendProvisionRequest,5,Information,Sending Provision VM request over WebSocket.,Machine=Win11-Office-VDI-VM08; JobId=JOB-510F2F1B; OpId=OP-AC8EF9DCC8; CorrelationId=578b44cc-336a-407f-aa73-0c89d5beb920
10,6.0E+08,2026-01-24 16:00:01.505Z,554,17400,7712,HclProxy,WebSocketServer,214,SendProvisionRequest,5,Information,Sending Provision VM request over WebSocket.,Machine=Win11-Office-VDI-VM09; JobId=JOB-510F2F1B; OpId=OP-B4CFFACDBC; CorrelationId=aee2bead-a1ad-4246-acf1-7e4a35be6a78
11,4.8E+08,2026-01-24 16:00:01.550Z,523,17400,7712,HclProxy,WebSocketServer,214,SendProvisionRequest,5,Information,Sending Provision VM request over WebSocket.,Machine=Win11-Office-VDI-VM10; JobId=JOB-510F2F1B; OpId=OP-50AAD7783A; CorrelationId=fbb769c0-ddf1-44dd-a1a6-a00a6350bda1
12,6.1E+09,2026-01-24 16:00:01.595Z,527,17400,7712,HclProxy,WebSocketServer,214,SendProvisionRequest,5,Information,Sending Provision VM request over WebSocket.,Machine=Win11-Office-VDI-VM11; JobId=JOB-510F2F1B; OpId=OP-396DA50C89; CorrelationId=6a75fb34-0cb7-49c8-8d4c-a4b98ea5f9ac
